"page_name","country","post_date","total_interactions","Message","URL"
"detikcom","ID",2021-11-14,3337,"Negara dengan ekonomi terbesar kedua di dunia, China tengah mengalami inflasi. Begini dampaknya ke Indonesia","https://www.facebook.com/374777242078/posts/10161006708012079"
"GMA News","PH",2020-09-02,3333,"JUST IN: India on Wednesday banned 118 Chinese apps as it stepped up economic hostilities over an increasingly bitter border showdown between the giant neighbours.","https://www.facebook.com/116724526976/posts/10159210122851977"
"GMA News","PH",2021-11-24,3328,"“Palayasin natin ‘yung China sa WPS, ‘yung kanilang ginagawang pagkamkam, pero hindi para angkinin natin kundi lahat ng claimants diyan ay magkaroon ng joint program para sa common development at i-transform into an economic zone ‘yung buong WPS,”labor leader and presidential aspirant Leody De Guzman said.","https://www.facebook.com/116724526976/posts/10160566281711977"
"GMA News","PH",2021-04-23,3255,"Presidential spokesperson Harry Roque denied that President Rodrigo Duterte had a verbal agreement with Chinese President Xi Jinping allowing the Chinese to fish within the Philippines’ exclusive economic zone. But back in 2019, then-presidential spokesperson Salvador Panelo said such verbal agreement between Presidents Duterte and Xi is legally binding. Duterte earlier said the Chinese had been allowed to fish in Recto Bank as a result of a verbal agreement between him and President Xi Jinping in 2016.","https://www.facebook.com/116724526976/posts/10159979366221977"
"GMA News","PH",2021-05-13,3254,"Kahit ilang beses na itinaboy, halos 300 Chinese militia ships pa rin ang namataan sa exclusive economic zone ng Pilipinas ayon sa National Task Force on the West Philippine Sea. Samantala, hindi natuwa si Foreign Affairs Secretary Teddy Locsin Jr. dahil nauna ang paglabas ng press release ng task force kaysa sa pag-ulat sa kaniya.","https://www.facebook.com/116724526976/posts/484445146447618"
"detikcom","ID",2020-01-03,3238,"Pemerintah Indonesia menyatakan bahwa China telah melanggar Zona Ekonomi Eksklusif RI di Laut Natuna. Bakamla akan menambah pasukan untuk mengamankan wilayah tersebut. #Natuna #China","https://www.facebook.com/374777242078/posts/10158717177002079"
"CNN","US",2020-02-15,3177,"The amount of oil needed to run the global economy will decline sharply in the first quarter of this year as the coronavirus forces factories to close in China, snarls transportation and hits supply chains","https://www.facebook.com/5550296508/posts/10160462464901509"
"CNA","SG",2022-06-21,3135,"Today, the yuan is not viewed as a safe haven, Chinese stocks languish and no Chinese city is more than a regional financial centre, says this business writer.","https://www.facebook.com/93889432933/posts/10158977829607934"
"Digi24","RO",2022-03-17,3084,"„China este o țară prietenoasă cu poporul ucrainean”","https://www.facebook.com/361342783884945/posts/5592605517425286"
"GMA News","PH",2020-01-04,3067,"Indonesia has increased patrols around islands near the disputed South China Sea after a Chinese coast guard vessel ""trespassed"" into Indonesia's exclusive economic zone, authorities said on Friday.","https://www.facebook.com/116724526976/posts/10158238072756977"
"GMA News","PH",2021-04-05,3027,"“Paninindigan natin ang ating karapatan pero hindi ito isang bagay para tayo ay gumamit ng dahas,” ayon kay presidential spokesperson Harry Roque kaugnay ng palitan ng pahayag sa pagitan ng Chinese Embassy at ni Defense Secretary Delfin Lorenzana.","https://www.facebook.com/116724526976/posts/10159923436801977"
"CNN","US",2020-01-15,3026,"Her death has raised concerns about poverty levels in China, the world's second largest economy.","https://www.facebook.com/5550296508/posts/10160343568571509"
"GMA News","PH",2021-07-23,3024,"“Sabihin niya lang, wala namang mawawala sa kanya: ‘Susunod ako sa Saligang Batas, bawal ang mga Chinese fishermen mangisda sa ating EEZ,’” hamon ni dating Supreme Court Associate Justice Antonio Carpio kay Pangulong Duterte bago ang kaniyang huling State of the Nation Address sa Lunes, July 26.","https://www.facebook.com/116724526976/posts/10160239077101977"
"BBC News","GB",2020-03-01,2995,"The latest economic data shows the virus is having a bigger impact on China than the 2008 financial crisis.","https://www.facebook.com/228735667216/posts/10157511919327217"
"GMA News","PH",2021-04-22,2944,"The Chinese vessels refusing to leave the West Philippine Sea are holding on to a verbal agreement that President Rodrigo Duterte had made with Chinese President Xi Jinping way back in 2016 allowing China to fish within the country’s exclusive economic zone (EEZ), retired Supreme Court Senior Associate Justice Antonio Carpio said.","https://www.facebook.com/116724526976/posts/10159977177766977"
"GMA News","PH",2022-05-26,2937,"Ekonomiya ang isa sa mga magiging prayoridad ng administrasyon ni President-elect Ferdinand ""Bongbong"" Marcos, Jr. Kabilang sa mga haharapin ng ilan sa pinangalanan niyang miyembro ng kanyang economic team--ang lumobong utang ng Pilipinas, usapin ng dagdag buwis, at P20 kada kilong bigas. Pagdating naman sa West Philippine Sea, patuloy daw siyang makikipag-usap sa China pero matibay daw ang paninindigan ng Pilipinas na walang kompromiso sa ating soberanya. Pangako rin ni Marcos, lalabanan niya ang korapsyon. Ibahin daw ang kanyang pamumuno sa nakaraan. | May 26, 2022","https://www.facebook.com/116724526976/posts/10160990161346977"
"BBC News","GB",2020-02-19,2916,"China has one of the biggest economies in the world - but how is everyone else affected when it's in trouble? (via BBC Money) bbc.in/37C4WSp:=:https://www.bbc.co.uk/news/av/business-51551992","https://www.facebook.com/228735667216/posts/10157481441707217"
"CNN","US",2021-01-18,2903,"China's economy grew more than expected last year, even as the rest of the world was upended by the coronavirus pandemic","https://www.facebook.com/5550296508/posts/10161656363636509"
"CNN","US",2019-12-08,2859,"Russia has switched on the ""Power of Siberia,"" an enormous gas pipeline to China worth billions of dollars, affirming increasingly close economic and political ties between the two countries.","https://www.facebook.com/5550296508/posts/10160208929651509"
"GMA News","PH",2021-04-03,2853,"Defying Defense Secretary Delfin Lorenzana's call, China maintained it had a historical claim over the feature, which is within the Philippines' exclusive economic zone under the United Nations Convention on the Law of the Sea. The embassy said the waters around the reef ""has been a traditional fishing ground for Chinese fishermen for many years."" ""The Chinese fishermen have been fishing in the waters for their livelihood every year. It is completely normal for Chinese fishing vessels to fish in the waters and take shelter near the reef during rough sea conditions. Nobody has the right to make wanton remarks on such activities,"" the embassy said.","https://www.facebook.com/116724526976/posts/10159917788156977"
"ABC News","AU",2020-04-28,2829,"It comes after the Chinese ambassador warned of a possible economic backlash over Australia's push for an inquiry into COVID-19's origins.","https://www.facebook.com/72924719987/posts/10161119059859988"
"ABC News","AU",2020-05-13,2793,"""The aim is not to financially cripple the other country, but to remind them how easily Beijing can impose economic pain. It's an implicit threat designed to shape behaviour.""","https://www.facebook.com/72924719987/posts/10161197581214988"
"CNN","US",2022-03-05,2708,"Chinese policymakers face challenges to keep growth steady, as the country deals with a real estate crisis and Beijing's zero-tolerance approach to the coronavirus. The fallout from the Ukraine crisis could also drive prices higher.","https://www.facebook.com/5550296508/posts/10162641665376509"
"Diario El Comercio (Perú)","PE",2020-09-18,2685,"🚨 NO MÁS. El departamento de Comercio anunció que las aplicaciones chinas estarán completamente prohibidas en este territorio desde dicha fecha pues han sido señaladas como amenazas a la ""seguridad nacional""","https://www.facebook.com/71263708835/posts/10159446649383836"
"GMA News","PH",2023-09-15,2677,"Pinag-aaralan daw ng Pilipinas na maghain ng panibagong reklamo laban sa China sa ilalim ng UNCLOS kasunod ng pangha-harass nito sa Ayungin Shoal. May pinaplantsa ring kasunduan sa Canada na magagamit pangdepensa sa inaagaw na mga lugar sa Exclusive Economic Zone ng Pilipinas.","https://www.facebook.com/100064849986224/posts/713245424180451"
"GMA News","PH",2023-09-14,2676,"Ikina-alarma ng AFP Western Command ang namataan nilang kumpulan o swarming na naman ng Chinese fishing vessels sa loob ng Exclusive Economic Zone ng Pilipinas. Sinusubukan din umano ng China na magkaroon ng presensya malapit sa Recto Bank na pinaniniwalaang mayaman sa gas.","https://www.facebook.com/100064849986224/posts/712503104254683"
"CNN","US",2022-02-05,2665,"The House has voted to make sweeping investments in American manufacturing and scientific research as well as changes to trade policy in an effort to make the US more competitive on the global stage and counter China’s growing economic influence","https://www.facebook.com/5550296508/posts/10162582461076509"
"detikcom","ID",2020-07-28,2664,"Presiden Joko Widodo (Jokowi) merasa optimistis ekonomi Indonesia akan kembali pulih setelah dihantam wabah virus Corona (COVID-19). #Jokowi via Detikfinance","https://www.facebook.com/374777242078/posts/10159570308177079"
"Infobae","AR",2020-07-08,2625,"SORPRESA EN LA CASA BLANCA En pleno enfrentamiento geopolítico entre Trump y Xi Jinping, la Cancillería avanza en acuerdos estratégicos que fortalecerán la influencia del régimen de Beijing en Argentina, mientras el Ministerio de Economía aguarda que Washington ayude a destrabar la negociación de la deuda. Por Román Lejtman y Martín Dinatale","https://www.facebook.com/34839376970/posts/10158339914891971"
"BBC News","GB",2020-07-21,2621,"The US Secretary of State Mike Pompeo met UK PM Boris Johnson for talks on a range of security and economic issues, including China.","https://www.facebook.com/228735667216/posts/10158006611522217"
"GMA News","PH",2020-04-24,2596,"US AT JAPAN, KAKALAS NA SA CHINA? Tila maging mga bansa ay sumusunod sa social distancing. Balak na raw kasing dumistansiya o kumalas ng US at Japan sa kanilang economic ties sa bansang China. Ano kaya ang dahilan nito? Panoorin sa video!","https://www.facebook.com/116724526976/posts/10158702233951977"
"GMA News","PH",2021-03-22,2579,"Pinalibutan ng nasa 220 Chinese maritime militia ang Julian Felipe Reef sa West Philippine Sea na nasa loob ng Philippine Exclusive Economic Zone. Naghain na raw ng protesta ang Department of Foreign Affairs sa China kaugnay n'yan. Ipina-pu-pull out na rin ng ating Defense Department ang mga bangka sa China. May tugon kaya ang China rito? Alamin sa video. Basahin: bit.ly/315eTqY:=:https://www.gmanetwork.com/news/topstories/nation/780581/locsin-says-philippines-has-filed-diplomatic-protest-vs-china/story/","https://www.facebook.com/116724526976/posts/954866535321975"
"CNA","SG",2022-07-15,2540,"Sri Lanka's economic crisis was made worse by the decision to repay debts, as China, one of its biggest creditors, baulked at any debt concessions, says this professor.","https://www.facebook.com/93889432933/posts/10159015165482934"
"GMA News","PH",2020-09-06,2519,"China is recasting Wuhan as a heroic coronavirus victim and trying to throw doubt on the pandemic's origin story as it aims to seize the narrative at a time of growing global distrust of Beijing. The PR blitz plays out daily in comments by Chinese officials and lavish state media coverage of a ""reborn"" Wuhan that trumpets China's epidemic-control efforts and economic recovery while the United States struggles.","https://www.facebook.com/116724526976/posts/10159222972641977"
